date,symbol,open,high,low,close,volume
2024-12-31 00:00:00+00:00,AAPL,252.44,253.28,249.43,250.42,39480718.0
2024-12-30 00:00:00+00:00,AAPL,252.23,253.5,250.75,252.2,35500300.0
2024-12-27 00:00:00+00:00,AAPL,257.83,258.7,253.06,255.59,42317100.0
2024-12-26 00:00:00+00:00,AAPL,258.355,260.09,257.63,259.02,27133647.0
2024-12-24 00:00:00+00:00,AAPL,255.49,258.21,255.29,258.2,23234705.0
2024-12-23 00:00:00+00:00,AAPL,254.77,255.65,253.45,255.27,37277559.0
2024-12-20 00:00:00+00:00,AAPL,248.04,255.0,245.69,254.49,146890100.0
2024-12-19 00:00:00+00:00,AAPL,247.5,252.0,247.09,249.79,59903900.0
2024-12-18 00:00:00+00:00,AAPL,252.22,254.28,247.75,248.05,55988391.0
2024-12-17 00:00:00+00:00,AAPL,250.135,253.81,249.79,253.48,51055731.0
2024-12-16 00:00:00+00:00,AAPL,247.99,251.38,247.65,251.04,51665600.0
2024-12-13 00:00:00+00:00,AAPL,247.82,249.29,246.24,248.13,33132000.0
2024-12-12 00:00:00+00:00,AAPL,246.945,248.74,245.68,247.96,29983256.0
2024-12-11 00:00:00+00:00,AAPL,247.945,250.8,246.2601,246.49,42854558.0
2024-12-10 00:00:00+00:00,AAPL,246.89,248.21,245.34,247.77,36873800.0
2024-12-09 00:00:00+00:00,AAPL,241.83,247.24,241.76,246.75,43606216.0
2024-12-06 00:00:00+00:00,AAPL,242.91,244.63,242.08,242.84,36852100.0
2024-12-05 00:00:00+00:00,AAPL,243.99,244.54,242.13,243.04,39961900.0
2024-12-04 00:00:00+00:00,AAPL,242.88,244.105,241.25,243.01,41848779.0
2024-12-03 00:00:00+00:00,AAPL,239.92,242.755,238.9003,242.65,37736685.0
2024-12-02 00:00:00+00:00,AAPL,237.27,240.79,237.16,239.59,42439900.0
2024-11-29 00:00:00+00:00,AAPL,234.81,237.81,233.97,237.33,28481400.0
2024-11-27 00:00:00+00:00,AAPL,234.465,235.69,233.8101,234.93,33498439.0
2024-11-26 00:00:00+00:00,AAPL,233.475,235.57,233.475,235.06,44991117.0
2024-11-25 00:00:00+00:00,AAPL,231.46,233.25,229.74,232.87,89984500.0
2024-11-22 00:00:00+00:00,AAPL,228.06,230.72,228.06,229.87,38153300.0
2024-11-21 00:00:00+00:00,AAPL,228.88,230.16,225.71,228.52,42071900.0
2024-11-20 00:00:00+00:00,AAPL,228.06,229.93,225.89,229.0,35112500.0
2024-11-19 00:00:00+00:00,AAPL,226.795,230.16,226.66,228.28,34871882.0
2024-11-18 00:00:00+00:00,AAPL,225.2,229.74,225.18,228.02,44555294.0
2024-11-15 00:00:00+00:00,AAPL,226.4,226.92,224.27,225.0,47832200.0
2024-11-14 00:00:00+00:00,AAPL,225.02,228.87,225.0,228.22,44880200.0
2024-11-13 00:00:00+00:00,AAPL,224.01,226.65,222.76,225.12,48528500.0
2024-11-12 00:00:00+00:00,AAPL,224.55,225.59,223.36,224.23,40375300.0
2024-11-11 00:00:00+00:00,AAPL,225.0,225.7,221.5,224.23,41949000.0
2024-11-08 00:00:00+00:00,AAPL,227.17,228.66,226.41,226.96,38308700.0
2024-11-07 00:00:00+00:00,AAPL,224.63,227.88,224.57,227.48,42083800.0
2024-11-06 00:00:00+00:00,AAPL,222.61,226.07,221.19,222.72,54495200.0
2024-11-05 00:00:00+00:00,AAPL,221.795,223.945,221.795,223.45,27890524.0
2024-11-04 00:00:00+00:00,AAPL,220.99,222.79,219.71,222.01,44903300.0
2024-11-01 00:00:00+00:00,AAPL,220.97,225.35,220.27,222.91,65242200.0
2024-10-31 00:00:00+00:00,AAPL,229.34,229.83,225.37,225.91,63960700.0
2024-10-30 00:00:00+00:00,AAPL,232.62,233.47,229.56,230.1,45894362.0
2024-10-29 00:00:00+00:00,AAPL,233.195,234.32,232.32,233.67,30768254.0
2024-10-28 00:00:00+00:00,AAPL,233.315,234.73,232.55,233.4,34733733.0
2024-10-25 00:00:00+00:00,AAPL,229.74,233.22,229.57,231.41,38776700.0
2024-10-24 00:00:00+00:00,AAPL,229.98,230.82,228.41,230.57,31071100.0
2024-10-23 00:00:00+00:00,AAPL,234.32,235.144,227.76,230.76,50657958.0
2024-10-22 00:00:00+00:00,AAPL,233.83,236.19,232.61,235.86,34958938.0
2024-10-21 00:00:00+00:00,AAPL,234.45,236.85,234.45,236.48,35059099.0
2024-10-18 00:00:00+00:00,AAPL,236.18,236.18,234.01,235.0,46416300.0
2024-10-17 00:00:00+00:00,AAPL,233.43,233.85,230.52,232.15,32978900.0
2024-10-16 00:00:00+00:00,AAPL,231.62,232.12,229.85,231.78,32657566.0
2024-10-15 00:00:00+00:00,AAPL,233.59,237.49,232.37,233.85,61901688.0
2024-10-14 00:00:00+00:00,AAPL,228.7,231.7278,228.6,231.3,32607921.0
2024-10-11 00:00:00+00:00,AAPL,229.3,229.41,227.34,227.55,31668000.0
2024-10-10 00:00:00+00:00,AAPL,227.78,229.5,227.17,229.04,27959432.0
2024-10-09 00:00:00+00:00,AAPL,225.17,229.75,224.83,229.54,32108383.0
2024-10-08 00:00:00+00:00,AAPL,224.31,225.975,223.25,225.77,31112547.0
2024-10-07 00:00:00+00:00,AAPL,224.46,225.69,221.335,221.69,38944409.0
2024-10-04 00:00:00+00:00,AAPL,227.9,228.0,224.13,226.8,37245100.0
2024-10-03 00:00:00+00:00,AAPL,225.14,226.81,223.32,225.67,33919900.0
2024-10-02 00:00:00+00:00,AAPL,225.89,227.37,223.02,226.78,32828700.0
2024-10-01 00:00:00+00:00,AAPL,229.52,229.65,223.74,226.21,62940000.0
2024-09-30 00:00:00+00:00,AAPL,230.155,233.0,229.655,233.0,52779736.0
2024-09-27 00:00:00+00:00,AAPL,228.46,229.52,227.3,227.79,33993600.0
2024-09-26 00:00:00+00:00,AAPL,227.3,228.5,225.41,227.52,36490267.0
2024-09-25 00:00:00+00:00,AAPL,224.93,227.29,224.03,226.37,40779133.0
2024-09-24 00:00:00+00:00,AAPL,228.645,229.35,225.74,227.37,41781114.0
2024-09-23 00:00:00+00:00,AAPL,227.34,229.45,225.81,226.47,48904893.0
2024-09-20 00:00:00+00:00,AAPL,229.97,233.09,227.62,228.2,318582200.0
2024-09-19 00:00:00+00:00,AAPL,224.99,229.82,224.63,228.87,66723100.0
2024-09-18 00:00:00+00:00,AAPL,217.55,222.71,217.54,220.69,59788400.0
2024-09-17 00:00:00+00:00,AAPL,215.75,216.9,214.5,216.79,45480900.0
2024-09-16 00:00:00+00:00,AAPL,216.74,217.2,213.92,216.32,59138791.0
2024-09-13 00:00:00+00:00,AAPL,223.58,224.04,221.91,222.5,36722900.0
2024-09-12 00:00:00+00:00,AAPL,222.3,223.54,219.82,222.77,37376315.0
2024-09-11 00:00:00+00:00,AAPL,221.425,223.09,217.89,222.66,43842596.0
2024-09-10 00:00:00+00:00,AAPL,218.885,221.48,216.73,220.11,51215441.0
2024-09-09 00:00:00+00:00,AAPL,220.9,221.27,216.72,220.91,66246080.0
2024-09-06 00:00:00+00:00,AAPL,223.95,225.24,219.77,220.82,48388600.0
2024-09-05 00:00:00+00:00,AAPL,221.52,225.48,221.52,222.38,35741943.0
2024-09-04 00:00:00+00:00,AAPL,221.66,221.755,217.48,220.85,43617462.0
2024-09-03 00:00:00+00:00,AAPL,228.61,229.0,221.17,222.77,48082190.0
2024-08-30 00:00:00+00:00,AAPL,230.19,230.4,227.48,229.0,52990770.0
2024-08-29 00:00:00+00:00,AAPL,230.28,232.92,228.88,229.79,51342429.0
2024-08-28 00:00:00+00:00,AAPL,228.05,229.85,225.6801,226.49,37794932.0
2024-08-27 00:00:00+00:00,AAPL,226.2101,228.79,224.89,228.03,35851754.0
2024-08-26 00:00:00+00:00,AAPL,227.21,227.28,223.8905,227.18,29834257.0
2024-08-23 00:00:00+00:00,AAPL,225.66,228.22,224.33,226.84,38629400.0
2024-08-22 00:00:00+00:00,AAPL,227.6,228.34,223.9,224.53,43434198.0
2024-08-21 00:00:00+00:00,AAPL,226.49,227.98,225.191,226.4,33246786.0
2024-08-20 00:00:00+00:00,AAPL,225.77,227.17,225.45,226.51,30241200.0
2024-08-19 00:00:00+00:00,AAPL,225.72,225.99,223.04,225.89,40639000.0
2024-08-16 00:00:00+00:00,AAPL,223.92,226.83,223.65,226.05,44289900.0
2024-08-15 00:00:00+00:00,AAPL,224.6,225.35,222.76,224.72,46335300.0
2024-08-14 00:00:00+00:00,AAPL,220.57,223.03,219.7,221.72,41888500.0
2024-08-13 00:00:00+00:00,AAPL,219.01,221.89,219.01,221.27,44095400.0
2024-08-12 00:00:00+00:00,AAPL,216.07,219.51,215.6,217.53,37992400.0
2024-08-09 00:00:00+00:00,AAPL,212.1,216.78,211.97,216.24,42171700.0
2024-08-08 00:00:00+00:00,AAPL,213.11,214.2,208.83,213.31,44598400.0
2024-08-07 00:00:00+00:00,AAPL,206.9,213.64,206.39,209.82,63402300.0
2024-08-06 00:00:00+00:00,AAPL,205.39,209.98,201.07,207.23,69353188.0
2024-08-05 00:00:00+00:00,AAPL,199.14,213.47,196.21,209.27,117397952.0
2024-08-02 00:00:00+00:00,AAPL,219.15,225.6,217.71,219.86,98480100.0
2024-08-01 00:00:00+00:00,AAPL,224.37,224.48,217.02,218.36,61877900.0
