date,symbol,open,high,low,close,volume
2024-03-28 00:00:00+00:00,AAPL,171.75,172.23,170.51,171.48,65672690.0
2024-03-27 00:00:00+00:00,AAPL,170.42,173.6,170.11,173.31,58586073.0
2024-03-26 00:00:00+00:00,AAPL,170.0,171.42,169.6,169.71,56940474.0
2024-03-25 00:00:00+00:00,AAPL,170.53,171.94,169.45,170.85,53895981.0
2024-03-22 00:00:00+00:00,AAPL,171.76,173.05,170.06,172.28,71106600.0
2024-03-21 00:00:00+00:00,AAPL,177.0,177.49,170.84,171.37,105231182.0
2024-03-20 00:00:00+00:00,AAPL,175.73,178.67,175.09,178.67,52674215.0
2024-03-19 00:00:00+00:00,AAPL,174.09,176.605,173.03,176.08,54808559.0
2024-03-18 00:00:00+00:00,AAPL,175.57,177.71,173.52,173.72,75604200.0
2024-03-15 00:00:00+00:00,AAPL,171.17,172.62,170.29,172.62,121664700.0
2024-03-14 00:00:00+00:00,AAPL,172.91,174.31,172.05,173.0,72913500.0
2024-03-13 00:00:00+00:00,AAPL,172.77,173.19,170.76,171.13,52488700.0
2024-03-12 00:00:00+00:00,AAPL,173.15,174.03,171.01,173.23,59825400.0
2024-03-11 00:00:00+00:00,AAPL,172.94,174.38,172.05,172.75,60139500.0
2024-03-08 00:00:00+00:00,AAPL,169.0,173.7,168.94,170.73,76114600.0
2024-03-07 00:00:00+00:00,AAPL,169.15,170.73,168.49,169.0,71765100.0
2024-03-06 00:00:00+00:00,AAPL,171.06,171.24,168.68,169.12,68587700.0
2024-03-05 00:00:00+00:00,AAPL,170.76,172.04,169.62,170.12,95132400.0
2024-03-04 00:00:00+00:00,AAPL,176.15,176.9,173.79,175.1,81510100.0
2024-03-01 00:00:00+00:00,AAPL,179.55,180.53,177.38,179.66,73488000.0
2024-02-29 00:00:00+00:00,AAPL,181.27,182.57,179.53,180.75,136682600.0
2024-02-28 00:00:00+00:00,AAPL,182.51,183.12,180.13,181.42,48953900.0
2024-02-27 00:00:00+00:00,AAPL,181.1,183.92,179.56,182.63,54318900.0
2024-02-26 00:00:00+00:00,AAPL,182.24,182.76,180.65,181.16,40867400.0
2024-02-23 00:00:00+00:00,AAPL,185.01,185.04,182.23,182.52,45074500.0
2024-02-22 00:00:00+00:00,AAPL,183.48,184.96,182.46,184.37,52292200.0
2024-02-21 00:00:00+00:00,AAPL,181.94,182.89,180.66,182.32,41529700.0
2024-02-20 00:00:00+00:00,AAPL,181.79,182.43,180.0,181.56,53665600.0
2024-02-16 00:00:00+00:00,AAPL,183.42,184.85,181.67,182.31,49701400.0
2024-02-15 00:00:00+00:00,AAPL,183.55,184.49,181.35,183.86,65434500.0
2024-02-14 00:00:00+00:00,AAPL,185.32,185.53,182.44,184.15,54630500.0
2024-02-13 00:00:00+00:00,AAPL,185.77,186.21,183.51,185.04,56529500.0
2024-02-12 00:00:00+00:00,AAPL,188.42,188.67,186.79,187.15,41781900.0
2024-02-09 00:00:00+00:00,AAPL,188.65,189.99,188.0,188.85,45155200.0
2024-02-08 00:00:00+00:00,AAPL,189.385,189.535,187.35,188.32,40962047.0
2024-02-07 00:00:00+00:00,AAPL,190.64,191.05,188.61,189.41,53438961.0
2024-02-06 00:00:00+00:00,AAPL,186.86,189.31,186.7695,189.3,43490762.0
2024-02-05 00:00:00+00:00,AAPL,188.15,189.25,185.84,187.68,69668812.0
