date,symbol,open,high,low,close,volume
2024-12-31 00:00:00+00:00,TSLA,423.79,427.93,402.54,403.84,76825121.0
2024-12-30 00:00:00+00:00,TSLA,419.4,427.0,415.75,417.41,64941012.0
2024-12-27 00:00:00+00:00,TSLA,449.52,450.0,426.5,431.66,82666821.0
2024-12-26 00:00:00+00:00,TSLA,465.16,465.3299,451.02,454.13,76651210.0
2024-12-24 00:00:00+00:00,TSLA,435.9,462.78,435.14,462.28,59551750.0
2024-12-23 00:00:00+00:00,TSLA,431.0,434.51,415.4112,430.6,72698055.0
2024-12-20 00:00:00+00:00,TSLA,425.505,447.08,417.64,421.06,132216176.0
2024-12-19 00:00:00+00:00,TSLA,451.88,456.36,420.02,436.17,118566146.0
2024-12-18 00:00:00+00:00,TSLA,466.495,488.5399,427.01,440.13,149340788.0
2024-12-17 00:00:00+00:00,TSLA,475.9,483.99,457.5101,479.86,131222978.0
2024-12-16 00:00:00+00:00,TSLA,441.09,463.19,436.15,463.02,114083811.0
2024-12-13 00:00:00+00:00,TSLA,420.0,436.3,415.71,436.23,89000158.0
2024-12-12 00:00:00+00:00,TSLA,424.84,429.3,415.0,418.1,87752225.0
2024-12-11 00:00:00+00:00,TSLA,409.7,424.88,402.38,424.77,104287559.0
2024-12-10 00:00:00+00:00,TSLA,392.68,409.73,390.85,400.99,97563578.0
2024-12-09 00:00:00+00:00,TSLA,397.61,404.8,378.01,389.79,96359173.0
2024-12-06 00:00:00+00:00,TSLA,377.42,389.49,370.8,389.22,81455834.0
2024-12-05 00:00:00+00:00,TSLA,359.87,375.43,359.5,369.49,81403569.0
2024-12-04 00:00:00+00:00,TSLA,353.0,358.1,348.6,357.93,50810874.0
2024-12-03 00:00:00+00:00,TSLA,351.8,355.69,348.2,351.42,58267196.0
2024-12-02 00:00:00+00:00,TSLA,352.38,360.0,351.1501,357.09,77986478.0
2024-11-29 00:00:00+00:00,TSLA,336.08,345.45,334.6501,345.16,37167621.0
2024-11-27 00:00:00+00:00,TSLA,341.8,342.55,326.59,332.89,57896439.0
2024-11-26 00:00:00+00:00,TSLA,341.0,346.96,335.66,338.23,62295857.0
2024-11-25 00:00:00+00:00,TSLA,360.14,361.93,338.2,338.59,95890899.0
2024-11-22 00:00:00+00:00,TSLA,341.085,361.53,337.7,352.56,89140722.0
2024-11-21 00:00:00+00:00,TSLA,343.81,347.9899,335.28,339.64,58011719.0
2024-11-20 00:00:00+00:00,TSLA,345.0,346.5999,334.3,342.03,66340650.0
2024-11-19 00:00:00+00:00,TSLA,335.76,347.3799,332.75,346.0,88852452.0
2024-11-18 00:00:00+00:00,TSLA,340.73,348.5499,330.01,338.74,126547455.0
2024-11-15 00:00:00+00:00,TSLA,310.57,324.6799,309.22,320.72,114440286.0
2024-11-14 00:00:00+00:00,TSLA,327.6,329.98,310.37,311.18,120726109.0
2024-11-13 00:00:00+00:00,TSLA,335.85,344.5999,322.5,330.24,125405599.0
2024-11-12 00:00:00+00:00,TSLA,342.74,345.84,323.31,328.49,155726016.0
2024-11-11 00:00:00+00:00,TSLA,346.3,358.64,336.0,350.0,210521625.0
